run_id;id;slug;url;titre;wilaya;date_parution_fr;type_annonce;secteur;detail_source;annonceur;code_annonce;montant;date_echeance;sous_type;subscription;scraped_at
2026-09-05_10-16-36;68377;727829-fourniture-des-equipements-bureautique-et-informatiques-au-profit-du-centre-de-proximite-des-impots-ghazaouet;https://algeriemarches.com/annonces/727829-fourniture-des-equipements-bureautique-et-informatiques-au-profit-du-centre-de-proximite-des-impots-ghazaouet;Fourniture des équipements bureautique et informatiques au profit du centre de proximité des impôts Ghazaouet;Tlemcen;03-09-2026;Attributions;Ameublement et Mobilier;html;;;;;Appels d'offres nationaux ouverts;RESTRICTED;2026-09-05T10:16:41.716948
2026-09-05_10-16-36;68183;921708-approvisionnement-en-fourniture-de-bureau-consommables-informatique-et-de-reprographie-de-qualite-originale-pour-le-groupe-saidal;https://algeriemarches.com/annonces/921708-approvisionnement-en-fourniture-de-bureau-consommables-informatique-et-de-reprographie-de-qualite-originale-pour-le-groupe-saidal;Approvisionnement en fourniture de bureau, consommables informatique et de reprographie de qualité ORIGINALE, pour le Groupe SAIDAL,;Alger;03-09-2026;Attributions;Ameublement et Mobilier;html;;;;;Appels d'offres nationaux ouverts;RESTRICTED;2026-09-05T10:16:42.924909
