run_id;id;slug;url;titre;wilaya;date_parution_fr;date_echeance;type_annonce;sous_type;secteur;annonceur;code_annonce;entreprise_concernee;montant;anep;parution_media;image_principale;image_secondaire;objet;subscription;scraped_at
2026-09-05_10-42-18;68866;530391-alimentation-scolaire;https://algeriemarches.com/annonces/530391-alimentation-scolaire;Alimentation scolaire ;Mila;03-09-2026;2026-11-30;Attributions;Consultation nationale ouverte;Agro-alimentaire et Alimentation;Commune d'Ouled Khalouf;07/2026;قرين خالد;;;;https://api.algeriemarches.com/api/images/AM_68866_202695_92623_27648_ad.jpg;;;ACTIVE;2026-09-05T10:42:25.658366
2026-09-05_10-42-18;68377;727829-fourniture-des-equipements-bureautique-et-informatiques-au-profit-du-centre-de-proximite-des-impots-ghazaouet;https://algeriemarches.com/annonces/727829-fourniture-des-equipements-bureautique-et-informatiques-au-profit-du-centre-de-proximite-des-impots-ghazaouet;Fourniture des équipements bureautique et informatiques au profit du centre de proximité des impôts Ghazaouet;Tlemcen;03-09-2026;2026-11-30;Attributions;Appels d'offres nationaux ouverts;Ameublement et Mobilier, Informatique et Bureautique;Direction des impôts de la wilaya de tlemcen;01/2026;EURL BUREAU PLUS;;2631012970;CAP DZ;https://api.algeriemarches.com/api/images/AM_68377_202693_12557_34829_ad.jpg;https://api.algeriemarches.com/api/images/AM_68377_202693_12557_95998_ad.jpg;;ACTIVE;2026-09-05T10:42:26.887980
