run_id;id;slug;url;titre;wilaya;date_parution_fr;type_annonce;secteur;annonceur;code_annonce;montant;date_echeance;sous_type;entreprise_concernee;objet;subscription;scraped_at
2026-09-05_10-28-47;68866;530391-alimentation-scolaire;https://algeriemarches.com/annonces/530391-alimentation-scolaire;Alimentation scolaire ;Mila;03-09-2026;Attributions;Agro-alimentaire et Alimentation;;;;;;;;unknown;2026-09-05T10:28:56.867547
2026-09-05_10-28-47;68377;727829-fourniture-des-equipements-bureautique-et-informatiques-au-profit-du-centre-de-proximite-des-impots-ghazaouet;https://algeriemarches.com/annonces/727829-fourniture-des-equipements-bureautique-et-informatiques-au-profit-du-centre-de-proximite-des-impots-ghazaouet;Fourniture des équipements bureautique et informatiques au profit du centre de proximité des impôts Ghazaouet;Tlemcen;03-09-2026;Attributions;Ameublement et Mobilier;;;;;;;;unknown;2026-09-05T10:28:57.727649
